"TERMO","CODIGO","NIVEL","NOTAS","TERMOS_INCLUIDOS","TERMO_LIMPO","URI","URIVersion","PAI_TERMO","PAI_CODIGO","PAI_TERMO_LIMPO","FLAG_OUTRO","FILHOS_LIMPOS"
"Mineração",136,2,"","","mineracao","http://vocab.e.gov.br/id/governo#mineracao","http://vocab.e.gov.br/id/governo/2014_02#mineracao","Indústria",10,"industria",0,""
"Produção Industrial",172,2,"","","producao-industrial","http://vocab.e.gov.br/id/governo#producao-industrial","http://vocab.e.gov.br/id/governo/2014_02#producao-industrial","Indústria",10,"industria",0,""
"Propriedade Industrial",173,2,"","","propriedade-industrial","http://vocab.e.gov.br/id/governo#propriedade-industrial","http://vocab.e.gov.br/id/governo/2014_02#propriedade-industrial","Indústria",10,"industria",0,""
"Outros em Industria",151,2,"","","outros-em-industria","http://vocab.e.gov.br/id/governo#outros-em-industria","http://vocab.e.gov.br/id/governo/2014_02#outros-em-industria","Indústria",10,"industria",1,""
"Meio ambiente",13,1,"Assuntos relacionadas ao meio ambiente.","","meio-ambiente","http://vocab.e.gov.br/id/governo#meio-ambiente","http://vocab.e.gov.br/id/governo/2014_02#meio-ambiente","Raiz",0,"",0,"agua, biodiversidade, clima, preservacao-e-conservacao-ambiental, outros-em-meio-ambiente"
"Água",101,2,"","","agua","http://vocab.e.gov.br/id/governo#agua","http://vocab.e.gov.br/id/governo/2014_02#agua","Meio ambiente",13,"meio-ambiente",0,""
"Biodiversidade",107,2,"","","biodiversidade","http://vocab.e.gov.br/id/governo#biodiversidade","http://vocab.e.gov.br/id/governo/2014_02#biodiversidade","Meio ambiente",13,"meio-ambiente",0,""
"Clima",109,2,"","","clima","http://vocab.e.gov.br/id/governo#clima","http://vocab.e.gov.br/id/governo/2014_02#clima","Meio ambiente",13,"meio-ambiente",0,""
"Preservação e Conservação Ambiental",168,2,"","","preservacao-e-conservacao-ambiental","http://vocab.e.gov.br/id/governo#preservacao-e-conservacao-ambiental","http://vocab.e.gov.br/id/governo/2014_02#preservacao-e-conservacao-ambiental","Meio ambiente",13,"meio-ambiente",0,""
"Outros em Meio Ambiente",152,2,"","","outros-em-meio-ambiente","http://vocab.e.gov.br/id/governo#outros-em-meio-ambiente","http://vocab.e.gov.br/id/governo/2014_02#outros-em-meio-ambiente","Meio ambiente",13,"meio-ambiente",1,""
"Pesquisa e Desenvolvimento",25,1,"Atividades de pesquisa científica e desenvolvimento de produtos e soluções. ","","pesquisa-e-desenvolvimento","http://vocab.e.gov.br/id/governo#pesquisa-e-desenvolvimento","http://vocab.e.gov.br/id/governo/2014_02#pesquisa-e-desenvolvimento","Raiz",0,"",0,"difusao, outros-em-pesquisa-e-desenvolvimento"
"Difusão",121,2,"","","difusao","http://vocab.e.gov.br/id/governo#difusao","http://vocab.e.gov.br/id/governo/2014_02#difusao","Pesquisa e Desenvolvimento",25,"pesquisa-e-desenvolvimento",0,""
"Outros em Pesquisa e Desenvolvimento",153,2,"","","outros-em-pesquisa-e-desenvolvimento","http://vocab.e.gov.br/id/governo#outros-em-pesquisa-e-desenvolvimento","http://vocab.e.gov.br/id/governo/2014_02#outros-em-pesquisa-e-desenvolvimento","Pesquisa e Desenvolvimento",25,"pesquisa-e-desenvolvimento",1,""
"Previdência Social",26,1,"Previdência social, seja pública ou privada. ","","previdencia-social","http://vocab.e.gov.br/id/governo#previdencia-social","http://vocab.e.gov.br/id/governo/2014_02#previdencia-social","Raiz",0,"",0,"previdencia-basica, previdencia-complementar, outros-em-previdencia"
"Previdência Básica",169,2,"","","previdencia-basica","http://vocab.e.gov.br/id/governo#previdencia-basica","http://vocab.e.gov.br/id/governo/2014_02#previdencia-basica","Previdência Social",26,"previdencia-social",0,""
"Previdência Complementar",170,2,"","","previdencia-complementar","http://vocab.e.gov.br/id/governo#previdencia-complementar","http://vocab.e.gov.br/id/governo/2014_02#previdencia-complementar","Previdência Social",26,"previdencia-social",0,""
"Outros em Previdência",154,2,"","","outros-em-previdencia","http://vocab.e.gov.br/id/governo#outros-em-previdencia","http://vocab.e.gov.br/id/governo/2014_02#outros-em-previdencia","Previdência Social",26,"previdencia-social",1,""
"Proteção Social",27,1,"Atividades de proteção ao cidadão, a sociedade e a grupos específicos. ","","protecao-social","http://vocab.e.gov.br/id/governo#protecao-social","http://vocab.e.gov.br/id/governo/2014_02#protecao-social","Raiz",0,"",0,"assistencia-a-crianca-e-ao-adolescente, assistencia-ao-idoso, assistencia-ao-portador-de-deficiencia, combate-a-desigualdade, cidadania, outros-em-protecao-social"
"Assistência à Criança e ao Adolescente",102,2,"","","assistencia-a-crianca-e-ao-adolescente","http://vocab.e.gov.br/id/governo#assistencia-a-crianca-e-ao-adolescente","http://vocab.e.gov.br/id/governo/2014_02#assistencia-a-crianca-e-ao-adolescente","Proteção Social",27,"protecao-social",0,""
"Assistência ao Idoso",103,2,"","","assistencia-ao-idoso","http://vocab.e.gov.br/id/governo#assistencia-ao-idoso","http://vocab.e.gov.br/id/governo/2014_02#assistencia-ao-idoso","Proteção Social",27,"protecao-social",0,""
"Assistência ao Portador de Deficiência",104,2,"","","assistencia-ao-portador-de-deficiencia","http://vocab.e.gov.br/id/governo#assistencia-ao-portador-de-deficiencia","http://vocab.e.gov.br/id/governo/2014_02#assistencia-ao-portador-de-deficiencia","Proteção Social",27,"protecao-social",0,""
